Country,Leave,Pay
Afghanistan,90,100
Albania,365,"80,50"
Algeria,98,100
Andora,112,100
Angola,84,100
Antigua and Barbuda,91,"100,60"
Argentina,90,100
Armenia,140,100
Australia,126,
Austria,112,100
Azerbaijan,126,100
Bahamas,84,100
Bahrain,45,100
Bangladesh,112,100
Barbados,84,100
Belarus,126,100
Belgium,105,"79.5,75"
Belize,98,100
Benin,98,100
Bermuda,84,100
Bolivia,84,75
Bosnia and Herzegovina,365,50-100
Botswana,84,50
Brazil,120,100
British Virgin Islands,91,67
Brunei Darussalam,63,100
Bulgaria,227,90
Burkina Faso,98,100
Burundi,84,100
Cambodia,90,50
Cameroon,98,100
Canada,119,55
Cape Verde,60,90
Central African Republic,98,50
Chad,98,50
"Channel Islands, Guernsey",18,
"Channel Islands, Jersey",18,
Chile,126,100
China,90,100
"China, Hong Kong SAR",10,80
Colombia,98,100
Comoros,98,100
Congo,105,100
Costa Rica,120,100
Cote d'Ivoire,98,100
Croatia,365,100
Cuba,126,100
Cyprus,126,75
Czech Republic,196,60
Democratic Republic of the Congo,98,67
Denmark,126,
Djibouti,98,100
Dominica,84,60
Dominican Republic,84,100
Ecuador,84,100
Egypt,90,100
El Salvador,84,75
Equatorial Guinea,84,75
Eritrea,60,
Estonia,140,100
Ethiopia,90,100
Fiji,84,100
Finland,105,70
France,112,100
Gabon,98,100
Gambia,84,100
Germany,98,100
Ghana,84,100
Greece,119,50
Grenada,90,"100,60"
Guatemala,84,100
Guinea,98,100
Guinea-Bissau,60,100
Guyana,91,70
Haiti,84,100
Honduras,84,100
Hungary,168,70
Iceland,182,80
India,84,100
Indonesia,90,100
Iran,90,67
Iraq,62,100
Ireland,182,80
Isle of Man,182,90
Israel,98,100
Italy,150,80
Jamaica,56,100
Japan,98,30
Jordan,70,100
Kazakhstan,126,100
Kenya,90,100
Kiribati,84,25
Korea,90,100
Kuwait,70,100
Kyrgyzstan,126,100
Lao People's Democratic Republic,90,100
Latvia,112,100
Lebanon,49,100
Lesotho,84,
Libyan Arab Jamahiriya,98,"50,100"
Liechtenstein,140,80
Lithuania,126,100
Luxembourg,112,100
Macedonia,270,
Madagascar,98,100
Malawi,56,100
Malaysia,60,100
Mali,98,100
Malta,98,100
Mauritania,98,100
Mauritius,84,100
Mexico,84,100
Monaco,112,90
Mongolia,120,70
Morocco,98,100
Mozambique,60,100
Myanmar,84,66
Namibia,84,100
Nepal,52,100
Netherlands,112,100
New Zealand,98,100
Nicaragua,84,100
Niger,98,100
Nigeria,84,50
Norway,364,"80,100"
Pakistan,84,100
Panama,98,100
Papua New Guinea,42,
Paraguay,84,50
Peru,90,100
Philippines,42,100
Poland,112,100
Portugal (opt 1),120,100
Portugal (opt 2),150,80
Qatar,50,100
Republic of Moldova,126,100
Romania,126,85
Russian Federation,140,100
Rwanda,84,"100,20"
Saint Kitts and Nevis,91,65
Saint Lucia,90,65
Saint Vincent and the Grenadines,91,65
San Marino,150,100
Sao Tome and Principe,60,100
Saudi Arabia,70,"50,100"
Senegal,98,100
Serbia,365,100
Seychelles,98,
Singapore,112,100
Slovakia,196,55
Slovenia,105,100
Solomon Islands,84,25
Somalia,98,50
South Africa,120,60
Spain,112,100
Sri Lanka,84,"86,100"
Sudan,56,100
Swaziland,84,
Sweden,480,80
Switzerland,98,80
Syrian Arab Republic,"120,90,75",100
Tajikistan,140,100
"Tanzania, United Republic of ",84,100
Thailand,90,100
Togo,98,100
Trinidad and Tobago,91,"100,50"
Tunisia,"1,2","67,50,100"
Turkey,112,67
Turkmenistan,112,100
Uganda,60,100
Ukraine,126,100
United Arab Emirates,45,"100,50"
United Kingdom,364,90
United States of America,84,
Uruguay,84,100
Uzbekistan,126,100
Vanuatu,84,66
Venezuela,126,100
Vietnam,120,100
Yemen,60,100
Zambia,84,100
Zimbabwe,98,100
