Country,Leave,Pay
Afghanistan,90,100
Albania,364,62.1
Algeria,98,100
Andora,112,100
Angola,91,100
Antigua and Barbuda,91,78.4
Argentina,91,100
Armenia,140,100
Australia,126,(flat rate)
Austria,112,100
Azerbaijan,126,100
Bahamas,91,97.4
Bahrain,60,100
Bangladesh,112,100
Barbados,84,100
Belarus,126,100
Belgium,105,76.8
Belize,98,100
Benin,98,100
,,
Bolivia,91,95
Bosnia and Herzegovina,364,50
Botswana,84,50
Brazil,119,100
British Virgin Islands,91,67
,,
Bulgaria,224,90
Burkina Faso,98,100
Burundi,84,100
Cambodia,90,50
Cameroon,98,100
Canada,105,50
Cape Verde,63,90
Central Africa Republic,98,50
Chad,98,100
,,
,,
Chile,168,100
China,98,100
"China, Hong Kong",70,80
Colombia,98,100
Comoros,98,100
Congo,105,100
Costa Rica,119,100
Côte d’Ivoire,98,100
Croatia,406,(see notes)
Cuba,126,100
Cyprus,126,75
Czech Republic,196,70
Democratic Republic of the Congo,98,67
Denmark,126,100
Djibouti,98,100
Dominica,84,60
Dominican Republic,84,100
Ecuador,84,100
Egypt,91,100
El Salvador,84,75
Equatorial Guinea,84,75
Eritrea,63,
Estonia,434,100
Ethiopia,91,100
Fiji,84,(flat rate)
Finland,126,70
France,112,70
Gabon,98,100
Gambia,84,100
Germany,98,100
Ghana,84,100
Greece,119,100
Grenada,91,86.5
Guatemala,84,100
Guinea,98,100
Guinea-Bissau,63,100
Guyana,91,70
Haiti,84,50
Honduras,84,83.3
Hungary,168,70
Iceland,91,80
India,84,100
Indonesia,90,100
Iran,180,100
Iraq,62,100
Ireland,294,49.5
,,
Israel,98,100
Italy,154,80
Jamaica,84,66.7
Japan,98,60
Jordan,70,100
Kazakhstan,126,100
Kenya,91,100
,,
Korea,90,100
Kuwait,70,100
Kyrgyzstan,126,(flat rate)
Lao People's Democratic Republic,90,70
Latvia,112,80
Lebanon,70,100
Lesotho,84,100
Libya,98,50
Liechtenstein,140,80
Lithuania,126,100
Luxembourg,112,100
Macedonia,273,100
Madagascar,98,100
Malawi,56,100
Malaysia,60,100
Mali,98,100
Malta,126,77.7
Mauritania,98,100
Mauritius,84,100
Mexico,84,100
Monaco,112,90
Mongolia,120,70
Morocco,98,100
Mozambique,63,100
Myanmar,84,66.7
Namibia,84,100
Nepal,52,100
Netherlands,112,100
New Zealand,126,100
Nicaragua,84,100
Niger,98,100
Nigeria,84,50
Norway (opt 2),315,80
Pakistan,90,100
Panama,98,100
Papua New Guinea,0,
Paraguay,84,37.5
Peru,91,100
Philippines,60,100
Poland,182,100
Portugal (opt 1),119,100
Portugal (opt 2),141,80
Qatar,50,100
Moldova,126,100
Romania,126,85
Russia,140,100
Rwanda,84,67
Saint Kitts and Nevis,91,65
Saint Lucia,91,65
Saint Vincent and the Grenadines,91,65
,,
Sao Tome and Principe,63,100
Saudi Arabia,70,50
Senegal,98,100
Serbia,140,100
Seychelles,98,(flat rate)
Singapore,112,100
Slovokia,238,65
Slovenia,105,100
Solomon Islands,84,25
Somalia,98,50
South Africa,119,60
Spain,112,100
Sri Lanka,168,75
Sudan,56,100
Swaziland,84,16.6
Sweden,126,80
Switzerland,98,80
Syrian Arab Republic,50,70
Tajikistan,140,100
"Tanzania, United Republic of ",84,100
Thailand,90,100
Togo,98,100
Trinidad and Tobago,91,100
Tunisia,28,66.7
Turkey,112,66.7
Turkmenistan,112,100
Uganda,70,100
Ukraine,126,100
United Arab Emirates,45,100
United Kingdom,365,(see notes)
United States of America,0,0
Uruguay,84,100
Uzbekistan,126,100
,,
Venezuela,182,100
Vietnam,120,100
Yemen,60,100
Zambia,84,100
Zimbabwe,98,100
Georgia,126,100
Montenegro,364,100
Norway (opt 1),245,100
Oman,98,100
Puerto Rico,56,100
Sierra Leone,84,100
Taiwan,56,100
